r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 2 5	d7d6	-18	22
r1bqk2r/pp2ppbp/2n2np1/2pp4/P1P5/2N2NP1/1P1PPPBP/R1BQK2R w KQkq - 0 7	c4d5	-8	22
r1bq1rk1/pp1pppbp/2n2np1/2p5/Q1P5/2N2NP1/PP1PPPBP/R1B1K2R w KQ - 6 7	e1g1	-27	22
rnbqkbnr/pp3ppp/8/3p4/3p4/7P/PPPN1PP1/R1BQKBNR w KQkq - 0 6	g1f3	8	22
r1bqk2r/pp2ppbp/2n3p1/2p5/3PP3/2P1BN2/P4PPP/R2QKB1R w KQkq - 2 9	a1c1	35	22
rnbq1rk1/ppp2ppp/4pn2/8/2pP4/P1PBP3/5PPP/R1BQK1NR w KQ - 0 8	d3c4	9	22
rnbq1rk1/p3nppp/1p2p3/2ppP3/P2P4/2P2N2/2P2PPP/R1BQKB1R w KQ - 1 9	h2h4	106	22
rnbq1rk1/pp3ppp/2pb4/3p4/2PPn3/5N2/PP2BPPP/RNBQ1RK1 w - - 2 9	b1c3	2	22
rnbq1rk1/p4ppp/1p3n2/2pp4/1b1P4/2NBPN2/PP3PPP/R1BQ1RK1 w - - 0 9	d4c5	9	22
rnb2rk1/ppq1bppp/4pn2/2ppN3/2P5/3P2P1/PP2PPBP/RNBQ1RK1 w - - 1 8	f2f4	-6	22
r1bqkb1r/pp3ppp/2n1pn2/2p5/2BP4/4PN2/PP2QPPP/RNB1K2R w KQkq - 2 7	e1g1	26	22
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 b - - 2 10	f8e8	22	22
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4P3/P1NP2PP/1PP1NPB1/R1BQ1RK1 b - - 4 9	c8d7	22	22
r2qkb1r/pp1bpppp/2np1n2/1B6/3NP3/2N5/PPP2PPP/R1BQK2R w KQkq - 5 7	c1e3	20	22
r2qkb1r/1p3ppp/p1npbn2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R w KQkq - 4 9	d1f3	51	22
r1bqkb1r/pp2nppp/3p4/1N1Pp3/8/8/PPP2PPP/R1BQKB1R w KQkq - 1 9	c2c4	36	22
r1bq1rk1/ppp1bppp/2np1n2/4p3/P1B1P3/3P1N2/1PPN1PPP/R1BQK2R w KQ - 1 7	c2c3	20	22
r1bq1rk1/ppp1bppp/2n2n2/3pp3/P1B1P3/2PP1N2/1P3PPP/RNBQ1RK1 w - - 0 8	e4d5	61	22
r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQ - 3 6	a2a3	22	22
